# Interpolated tables after MSCG-FM

MG_MG
N 251 R 0.000010 25.000000

1    0.0000 16285712.98696 63061596.74505
2    0.1000 11057125.10574 42816482.61647
3    0.2000 7507172.98924 29069678.31367
4    0.3000 5096867.26546 19736469.52401
5    0.4000 3460463.09503 13399812.33491
6    0.5000 2349433.63397 9097623.74818
7    0.6000 1595120.31258 6176710.38922
8    0.7000 1082987.40850 4193595.35846
9    0.8000 735282.27031 2847185.95102
10    0.9000 499212.21883 1933059.30475
11    1.0000 338935.65649 1312425.25293
12    1.1000 230117.94588 891054.07052
13    1.2000 156237.57844 604969.74592
14    1.3000 106077.43647 410736.62244
15    1.4000 72021.82989 278864.64360
16    1.5000 48900.17995 189331.92797
17    1.6000 33201.99435 128544.88907
18    1.7000 22543.87016 87274.34343
19    1.8000 15307.62833 59254.25739
20    1.9000 10394.62775 40230.39622
21    2.0000 7058.96060 27314.40041
22    2.1000 4794.20302 18545.25596
23    2.2000 3256.52509 12591.56584
24    2.3000 2212.48805 8549.38524
25    2.4000 1503.60217 5805.00020
26    2.5000 1022.26236 3941.74127
27    2.6000  695.41204 2676.69982
28    2.7000  473.45055 1817.82146
29    2.8000  322.70129 1234.69969
30    2.9000  220.30132  838.78650
31    3.0000  150.72721  570.00087
32    3.1000  103.43916  387.50382
33    3.2000   71.28333  263.59330
34    3.3000   49.39988  179.48971
35    3.4000   34.49107  122.35845
36    3.5000   24.31915   83.58569
37    3.6000   17.36016   57.27957
38    3.7000   12.58550   39.36576
39    3.8000    9.29348   27.26674
40    3.9000    7.00439   19.02494
41    4.0000    5.40298   13.38190
42    4.1000    4.26255    9.67045
43    4.2000    3.43505    7.01924
44    4.3000    2.82884    5.26332
45    4.4000    2.35800    4.19063
46    4.5000    1.99138    3.19683
47    4.6000    1.69577    2.79192
48    4.7000    1.43257    2.45508
49    4.8000    1.20445    2.11413
50    4.9000    1.00908    1.79823
51    5.0000    0.84299    1.53395
52    5.1000    0.70038    1.32725
53    5.2000    0.57589    1.16967
54    5.3000    0.46527    1.04733
55    5.4000    0.36569    0.94695
56    5.5000    0.27548    0.85864
57    5.6000    0.19377    0.77639
58    5.7000    0.12010    0.69744
59    5.8000    0.05419    0.62129
60    5.9000   -0.00428    0.54873
61    6.0000   -0.05572    0.48100
62    6.1000   -0.10068    0.41934
63    6.2000   -0.13982    0.36464
64    6.3000   -0.17386    0.31739
65    6.4000   -0.20354    0.27758
66    6.5000   -0.22961    0.24485
67    6.6000   -0.25273    0.21852
68    6.7000   -0.27350    0.19775
69    6.8000   -0.29243    0.18157
70    6.9000   -0.30993    0.16902
71    7.0000   -0.32632    0.15918
72    7.1000   -0.34183    0.15121
73    7.2000   -0.35661    0.14438
74    7.3000   -0.37073    0.13808
75    7.4000   -0.38422    0.13185
76    7.5000   -0.39709    0.12532
77    7.6000   -0.40927    0.11826
78    7.7000   -0.42071    0.11050
79    7.8000   -0.43135    0.10199
80    7.9000   -0.44109    0.09272
81    8.0000   -0.44987    0.08273
82    8.1000   -0.45761    0.07212
83    8.2000   -0.46427    0.06100
84    8.3000   -0.46980    0.04949
85    8.4000   -0.47416    0.03773
86    8.5000   -0.47734    0.02586
87    8.6000   -0.47933    0.01401
88    8.7000   -0.48015    0.00231
89    8.8000   -0.47981   -0.00914
90    8.9000   -0.47833   -0.02022
91    9.0000   -0.47578   -0.03086
92    9.1000   -0.47218   -0.04098
93    9.2000   -0.46760   -0.05053
94    9.3000   -0.46209   -0.05945
95    9.4000   -0.45573   -0.06771
96    9.5000   -0.44857   -0.07530
97    9.6000   -0.44069   -0.08220
98    9.7000   -0.43216   -0.08841
99    9.8000   -0.42303   -0.09394
100    9.9000   -0.41339   -0.09880
101   10.0000   -0.40330   -0.10301
102   10.1000   -0.39281   -0.10659
103   10.2000   -0.38200   -0.10957
104   10.3000   -0.37092   -0.11198
105   10.4000   -0.35962   -0.11385
106   10.5000   -0.34816   -0.11522
107   10.6000   -0.33659   -0.11611
108   10.7000   -0.32495   -0.11657
109   10.8000   -0.31329   -0.11662
110   10.9000   -0.30164   -0.11631
111   11.0000   -0.29004   -0.11566
112   11.1000   -0.27852   -0.11470
113   11.2000   -0.26711   -0.11347
114   11.3000   -0.25583   -0.11200
115   11.4000   -0.24472   -0.11030
116   11.5000   -0.23378   -0.10841
117   11.6000   -0.22304   -0.10636
118   11.7000   -0.21251   -0.10415
119   11.8000   -0.20221   -0.10182
