# Interpolated tables after MSCG-FM

HG_T1
N 251 R 0.000010 25.000000

1    0.0000 488702550.96070 1892356731.77413
2    0.1000 331802727.06667 1284839939.59767
3    0.2000 225275521.89647 872324880.42676
4    0.3000 152946904.90546 592253302.23692
5    0.4000 103841579.52776 402102452.79302
6    0.5000 70501734.95198 273002078.60322
7    0.6000 47866253.09354 185351107.46800
8    0.7000 32498138.03380 125841653.76454
9    0.8000 22064182.80342 85438506.66623
10    0.9000 14980181.01597 58007330.71257
11    1.0000 10170595.51958 39383300.94650
12    1.1000 6905190.82312 26738765.20683
13    1.2000 4688188.34970 18153926.90494
14    1.3000 3182984.05044 12325365.84207
15    1.4000 2161045.76912 8368142.31980
16    1.5000 1467214.41944 5681438.37411
17    1.6000 996146.90228 3857336.68986
18    1.7000 676321.89944 2618887.26575
19    1.8000 459180.98040 1778058.60502
20    1.9000 311756.04461 1207189.23973
21    2.0000 211663.84295 819605.12494
22    2.1000 143707.56746 556460.07764
23    2.2000 97569.54899 377801.26987
24    2.3000 66244.74406 256503.26360
25    2.4000 44977.17222 174149.60556
26    2.5000 30537.82418 118236.69193
27    2.6000 20734.40728 80275.36741
28    2.7000 14078.49381 54502.03412
29    2.8000 9559.53563 37003.57484
30    2.9000 6491.43465 25123.22959
31    3.0000 4408.37379 17057.22850
32    3.1000 2994.09266 11580.92528
33    3.2000 2033.87064 7862.86161
34    3.3000 1381.92597 5338.53316
35    3.4000  939.28201 3624.67359
36    3.5000  638.74009 2461.07086
37    3.6000  434.67634 1671.06038
38    3.7000  296.11515 1134.69100
39    3.8000  202.02621  770.53113
40    3.9000  138.13083  523.29153
41    4.0000   94.73520  355.42699
42    4.1000   65.25761  241.46245
43    4.2000   45.22914  164.08628
44    4.3000   31.61658  111.54810
45    4.4000   22.35958   75.88801
46    4.5000   16.05965   51.66714
47    4.6000   11.76816   35.22463
48    4.7000    8.83910   24.07260
49    4.8000    6.83586   16.47912
50    4.9000    5.46155   11.34373
51    5.0000    4.51243    7.85572
52    5.1000    3.85451    5.46033
53    5.2000    3.39274    3.88183
54    5.3000    3.06304    2.76999
55    5.4000    2.82717    2.01208
56    5.5000    2.64958    1.56174
57    5.6000    2.51471    1.15262
58    5.7000    2.41104    0.95379
59    5.8000    2.32163    0.83851
60    5.9000    2.24209    0.75757
61    6.0000    2.16955    0.69526
62    6.1000    2.10251    0.64833
63    6.2000    2.03938    0.61671
64    6.3000    1.97867    0.59997
65    6.4000    1.91895    0.59648
66    6.5000    1.85902    0.60359
67    6.6000    1.79798    0.61815
68    6.7000    1.73525    0.63695
69    6.8000    1.67055    0.65709
70    6.9000    1.60387    0.67617
71    7.0000    1.53541    0.69237
72    7.1000    1.46553    0.70444
73    7.2000    1.39468    0.71165
74    7.3000    1.32337    0.71371
75    7.4000    1.25211    0.71064
76    7.5000    1.18140    0.70275
77    7.6000    1.11171    0.69049
78    7.7000    1.04343    0.67442
79    7.8000    0.97693    0.65515
80    7.9000    0.91249    0.63330
81    8.0000    0.85034    0.60945
82    8.1000    0.79065    0.58416
83    8.2000    0.73354    0.55793
84    8.3000    0.67908    0.53118
85    8.4000    0.62730    0.50428
86    8.5000    0.57822    0.47755
87    8.6000    0.53178    0.45125
88    8.7000    0.48795    0.42555
89    8.8000    0.44664    0.40063
90    8.9000    0.40779    0.37660
91    9.0000    0.37129    0.35352
92    9.1000    0.33705    0.33146
93    9.2000    0.30497    0.31042
94    9.3000    0.27493    0.29043
95    9.4000    0.24685    0.27147
96    9.5000    0.22061    0.25351
97    9.6000    0.19611    0.23653
98    9.7000    0.17327    0.22050
99    9.8000    0.15198    0.20537
100    9.9000    0.13217    0.19109
101   10.0000    0.11374    0.17764
102   10.1000    0.09661    0.16495
103   10.2000    0.08072    0.15300
104   10.3000    0.06599    0.14173
105   10.4000    0.05235    0.13112
106   10.5000    0.03975    0.12111
107   10.6000    0.02811    0.11168
108   10.7000    0.01739    0.10279
109   10.8000    0.00754    0.09441
110   10.9000   -0.00151    0.08652
111   11.0000   -0.00978    0.07908
112   11.1000   -0.01734    0.07207
113   11.2000   -0.02421    0.06546
114   11.3000   -0.03044    0.05924
115   11.4000   -0.03607    0.05339
116   11.5000   -0.04113    0.04788
117   11.6000   -0.04566    0.04270
118   11.7000   -0.04968    0.03783
119   11.8000   -0.05323    0.03326
120   11.9000   -0.05634    0.02897
121   12.0000   -0.05904    0.02495
122   12.1000   -0.06134    0.02119
123   12.2000   -0.06328    0.01767
124   12.3000   -0.06488    0.01438
125   12.4000   -0.06617    0.01132
126   12.5000   -0.06716    0.00847
127   12.6000   -0.06787    0.00582
128   12.7000   -0.06833    0.00336
129   12.8000   -0.06855    0.00108
130   12.9000   -0.06855   -0.00102
131   13.0000   -0.06835   -0.00296
132   13.1000   -0.06796   -0.00474
133   13.2000   -0.06740   -0.00637
134   13.3000   -0.06669   -0.00786
135   13.4000   -0.06583   -0.00922
136   13.5000   -0.06485   -0.01044
137   13.6000   -0.06375   -0.01155
138   13.7000   -0.06254   -0.01254
139   13.8000   -0.06124   -0.01343
140   13.9000   -0.05986   -0.01421
141   14.0000   -0.05841   -0.01490
142   14.1000   -0.05689   -0.01550
143   14.2000   -0.05531   -0.01601
144   14.3000   -0.05369   -0.01644
145   14.4000   -0.05202   -0.01680
146   14.5000   -0.05033   -0.01709
147   14.6000   -0.04861   -0.01732
148   14.7000   -0.04687   -0.01748
149   14.8000   -0.04511   -0.01759
150   14.9000   -0.04335   -0.01764
151   15.0000   -0.04159   -0.01764
152   15.1000   -0.03982   -0.01760
153   15.2000   -0.03807   -0.01752
154   15.3000   -0.03632   -0.01740
155   15.4000   -0.03459   -0.01724
156   15.5000   -0.03287   -0.01705
157   15.6000   -0.03118   -0.01683
158   15.7000   -0.02951   -0.01658
159   15.8000   -0.02787   -0.01630
160   15.9000   -0.02625   -0.01600
161   16.0000   -0.02467   -0.01569
162   16.1000   -0.02311   -0.01535
163   16.2000   -0.02160   -0.01500
164   16.3000   -0.02011   -0.01463
165   16.4000   -0.01867   -0.01425
166   16.5000   -0.01727   -0.01385
167   16.6000   -0.01590   -0.01345
168   16.7000   -0.01458   -0.01304
169   16.8000   -0.01329   -0.01262
170   16.9000   -0.01205   -0.01219
171   17.0000   -0.01086   -0.01176
172   17.1000   -0.00970   -0.01133
173   17.2000   -0.00859   -0.01089
174   17.3000   -0.00752   -0.01045
175   17.4000   -0.00650   -0.01000
176   17.5000   -0.00552   -0.00956
177   17.6000   -0.00459   -0.00912
178   17.7000   -0.00370   -0.00868
179   17.8000   -0.00285   -0.00824
180   17.9000   -0.00205   -0.00780
181   18.0000   -0.00129   -0.00737
182   18.1000   -0.00058   -0.00694
183   18.2000    0.00010   -0.00651
184   18.3000    0.00073   -0.00609
185   18.4000    0.00132   -0.00568
186   18.5000    0.00186   -0.00526
187   18.6000    0.00237   -0.00486
188   18.7000    0.00283   -0.00446
189   18.8000    0.00326   -0.00407
190   18.9000    0.00365   -0.00368
191   19.0000    0.00400   -0.00331
192   19.1000    0.00431   -0.00293
193   19.2000    0.00459   -0.00257
194   19.3000    0.00482   -0.00222
195   19.4000    0.00503   -0.00187
196   19.5000    0.00520   -0.00154
197   19.6000    0.00534   -0.00121
198   19.7000    0.00544   -0.00089
199   19.8000    0.00552   -0.00059
200   19.9000    0.00556   -0.00029
201   20.0000    0.00557   -0.00000
202   20.1000    0.00556    0.00027
203   20.2000    0.00552    0.00054
204   20.3000    0.00545    0.00079
205   20.4000    0.00536    0.00103
206   20.5000    0.00525    0.00126
207   20.6000    0.00511    0.00148
208   20.7000    0.00495    0.00169
209   20.8000    0.00477    0.00188
210   20.9000    0.00457    0.00206
211   21.0000    0.00436    0.00223
212   21.1000    0.00413    0.00238
213   21.2000    0.00388    0.00252
214   21.3000    0.00363    0.00265
215   21.4000    0.00335    0.00276
216   21.5000    0.00307    0.00286
217   21.6000    0.00278    0.00294
218   21.7000    0.00249    0.00301
219   21.8000    0.00218    0.00306
220   21.9000    0.00188    0.00309
221   22.0000    0.00157    0.00311
222   22.1000    0.00125    0.00312
223   22.2000    0.00094    0.00310
224   22.3000    0.00063    0.00307
225   22.4000    0.00033    0.00302
226   22.5000    0.00003    0.00296
227   22.6000   -0.00026    0.00288
228   22.7000   -0.00055    0.00278
229   22.8000   -0.00082    0.00266
230   22.9000   -0.00108    0.00252
231   23.0000   -0.00132    0.00236
232   23.1000   -0.00155    0.00219
233   23.2000   -0.00176    0.00199
234   23.3000   -0.00195    0.00178
235   23.4000   -0.00211    0.00154
236   23.5000   -0.00225    0.00129
237   23.6000   -0.00237    0.00101
238   23.7000   -0.00246    0.00072
239   23.8000   -0.00251    0.00040
240   23.9000   -0.00253    0.00006
241   24.0000   -0.00252   -0.00030
242   24.1000   -0.00247   -0.00068
243   24.2000   -0.00239   -0.00108
244   24.3000   -0.00226   -0.00151
245   24.4000   -0.00208   -0.00196
246   24.5000   -0.00187   -0.00243
247   24.6000   -0.00160   -0.00292
248   24.7000   -0.00128   -0.00344
249   24.8000   -0.00091   -0.00398
250   24.9000   -0.00048   -0.00454
251   25.0000    0.00000   -0.00513
