# Interpolated tables after MSCG-FM

T1_T1
N 251 R 0.000010 25.000000

1    0.0000 320677.75499 1241658.24202
2    0.1000 217728.83224 843041.09843
3    0.2000 147831.48867 572372.73679
4    0.3000 100373.26737 388606.07493
5    0.4000 68152.81774 263840.16075
6    0.5000 46276.75858 179132.01169
7    0.6000 31424.27901 121620.54830
8    0.7000 21340.22226 82573.91115
9    0.8000 14493.67394 56063.71655
10    0.9000 9845.17006 38064.97794
11    1.0000 6689.00553 25844.97420
12    1.1000 4546.04276 17548.36329
13    1.2000 3090.98035 11915.49683
14    1.3000 2102.95833 8091.13099
15    1.4000 1432.02774 5494.63045
16    1.5000  976.38132 3731.77836
17    1.6000  666.89977 2534.89929
18    1.7000  456.65511 1722.30757
19    1.8000  313.78485 1170.60793
20    1.9000  216.65918  796.02154
21    2.0000  150.59013  541.73219
22    2.1000  105.60590  369.05916
23    2.2000   74.93959  251.82415
24    2.3000   53.99074  172.26993
25    2.4000   39.64139  118.19038
26    2.5000   29.77453   81.52648
27    2.6000   22.94502   56.64466
28    2.7000   18.18498   39.65600
29    2.8000   14.82653   28.26640
30    2.9000   12.41470   20.43140
31    3.0000   10.65899   15.07049
32    3.1000    9.33353   11.65085
33    3.2000    8.30594    9.02068
34    3.3000    7.49339    7.42867
35    3.4000    6.79669    6.47689
36    3.5000    6.21085    5.32863
37    3.6000    5.68935    5.20183
38    3.7000    5.18594    4.75922
39    3.8000    4.74392    4.09579
40    3.9000    4.36104    3.60050
41    4.0000    4.01567    3.34121
42    4.1000    3.68830    3.21802
43    4.2000    3.37135    3.11793
44    4.3000    3.06622    2.97447
45    4.4000    2.77853    2.76952
46    4.5000    2.51397    2.51533
47    4.6000    2.27629    2.23630
48    4.7000    2.06672    1.95693
49    4.8000    1.88429    1.69585
50    4.9000    1.72655    1.46438
51    5.0000    1.59026    1.26725
52    5.1000    1.47196    1.10440
53    5.2000    1.36834    0.97280
54    5.3000    1.27651    0.86796
55    5.4000    1.19402    0.78500
56    5.5000    1.11893    0.71933
57    5.6000    1.04971    0.66700
58    5.7000    0.98519    0.62480
59    5.8000    0.92450    0.59026
60    5.9000    0.86695    0.56156
61    6.0000    0.81203    0.53737
62    6.1000    0.75935    0.51674
63    6.2000    0.70859    0.49900
64    6.3000    0.65947    0.48366
65    6.4000    0.61179    0.47033
66    6.5000    0.56535    0.45867
67    6.6000    0.52001    0.44841
68    6.7000    0.47563    0.43926
69    6.8000    0.43213    0.43096
70    6.9000    0.38942    0.42325
71    7.0000    0.34747    0.41587
72    7.1000    0.30625    0.40859
73    7.2000    0.26575    0.40119
74    7.3000    0.22602    0.39349
75    7.4000    0.18707    0.38531
76    7.5000    0.14898    0.37653
77    7.6000    0.11179    0.36704
78    7.7000    0.07559    0.35677
79    7.8000    0.04046    0.34568
80    7.9000    0.00649    0.33376
81    8.0000   -0.02626    0.32103
82    8.1000   -0.05769    0.30751
83    8.2000   -0.08774    0.29326
