# Interpolated tables after MSCG-FM

T2_T2
N 251 R 0.000010 25.000000

1    0.0000 543167.95200 2103194.45429
2    0.1000 368787.01521 1427991.91758
3    0.2000 250390.90115 969516.99493
4    0.3000 170003.56938 658241.58242
5    0.4000 115426.92401 446905.30737
6    0.5000 78372.25131 303421.37214
7    0.6000 53214.55488 206004.87445
8    0.7000 36133.91009 139865.24752
9    0.8000 24537.15853 94960.63295
10    0.9000 16663.59142 64473.24559
11    1.0000 11317.84191 43774.24267
12    1.1000 7688.31622 29720.93102
13    1.2000 5223.99925 20179.62329
14    1.3000 3550.78453 13701.68087
15    1.4000 2414.67835 9303.56711
16    1.5000 1643.23477 6317.52797
17    1.6000 1119.37389 4290.19657
18    1.7000  763.60613 2913.76524
19    1.8000  521.96284 1979.25878
20    1.9000  357.80276 1344.78548
21    2.0000  246.24914  914.01811
22    2.1000  170.41162  621.55863
23    2.2000  118.82326  422.99034
24    2.3000   83.69875  288.18026
25    2.4000   59.75152  196.65410
26    2.5000   43.39370  134.50372
27    2.6000   32.18828   92.32224
28    2.7000   24.48047   63.67364
29    2.8000   19.14871   44.21829
30    2.9000   15.42860   31.03214
31    3.0000   12.80323   22.04832
32    3.1000   10.92248   15.96778
33    3.2000    9.54421   11.85379
34    3.3000    8.51025    9.00878
35    3.4000    7.70927    7.14320
36    3.5000    7.06314    5.84218
37    3.6000    6.52888    4.91944
38    3.7000    6.06419    4.40984
39    3.8000    5.64744    3.92568
40    3.9000    5.27418    3.57015
41    4.0000    4.92894    3.35097
42    4.1000    4.60159    3.20201
43    4.2000    4.28849    3.05613
44    4.3000    3.99153    2.87625
45    4.4000    3.71464    2.65534
46    4.5000    3.46145    2.40504
47    4.6000    3.23398    2.14413
48    4.7000    3.03236    1.89078
49    4.8000    2.85511    1.65866
50    4.9000    2.69964    1.45598
51    5.0000    2.56282    1.28596
52    5.1000    2.44138    1.14814
53    5.2000    2.33222    1.03962
54    5.3000    2.23261    0.95626
55    5.4000    2.14028    0.89349
56    5.5000    2.05338    0.84691
57    5.6000    1.97049    0.81256
58    5.7000    1.89057    0.78713
59    5.8000    1.81286    0.76792
60    5.9000    1.73685    0.75286
61    6.0000    1.66220    0.74040
62    6.1000    1.58872    0.72942
63    6.2000    1.51629    0.71914
64    6.3000    1.44488    0.70903
65    6.4000    1.37449    0.69876
66    6.5000    1.30514    0.68812
67    6.6000    1.23688    0.67699
68    6.7000    1.16976    0.66534
69    6.8000    1.10384    0.65312
70    6.9000    1.03916    0.64036
71    7.0000    0.97578    0.62707
72    7.1000    0.91376    0.61326
73    7.2000    0.85315    0.59897
74    7.3000    0.79398    0.58421
75    7.4000    0.73632    0.56904
76    7.5000    0.68019    0.55346
77    7.6000    0.62564    0.53752
78    7.7000    0.57269    0.52126
79    7.8000    0.52139    0.50470
80    7.9000    0.47176    0.48789
81    8.0000    0.42382    0.47088
82    8.1000    0.37759    0.45370
83    8.2000    0.33309    0.43641
84    8.3000    0.29031    0.41906
85    8.4000    0.24928    0.40168
86    8.5000    0.20997    0.38434
87    8.6000    0.17240    0.36708
88    8.7000    0.13655    0.34995
89    8.8000    0.10241    0.33299
90    8.9000    0.06995    0.31624
91    9.0000    0.03915    0.29976
92    9.1000    0.00999    0.28357
93    9.2000   -0.01757    0.26772
94    9.3000   -0.04357    0.25223
95    9.4000   -0.06803    0.23714
96    9.5000   -0.09101    0.22246
97    9.6000   -0.11254    0.20822
98    9.7000   -0.13267    0.19444
99    9.8000   -0.15144    0.18114
100    9.9000   -0.16891    0.16831
101   10.0000   -0.18512    0.15598
102   10.1000   -0.20012    0.14415
103   10.2000   -0.21397    0.13282
104   10.3000   -0.22671    0.12199
105   10.4000   -0.23838    0.11165
106   10.5000   -0.24905    0.10181
107   10.6000   -0.25876    0.09245
108   10.7000   -0.26756    0.08357
109   10.8000   -0.27549    0.07516
110   10.9000   -0.28261    0.06720
111   11.0000   -0.28895    0.05969
112   11.1000   -0.29456    0.05261
113   11.2000   -0.29948    0.04594
114   11.3000   -0.30376    0.03968
115   11.4000   -0.30743    0.03380
116   11.5000   -0.31053    0.02830
117   11.6000   -0.31310    0.02315
118   11.7000   -0.31517    0.01833
119   11.8000   -0.31678    0.01385
120   11.9000   -0.31795    0.00966
121   12.0000   -0.31872    0.00578
122   12.1000   -0.31912    0.00216
123   12.2000   -0.31916   -0.00119
124   12.3000   -0.31889   -0.00429
125   12.4000   -0.31831   -0.00716
126   12.5000   -0.31746   -0.00981
127   12.6000   -0.31636   -0.01226
128   12.7000   -0.31502   -0.01451
129   12.8000   -0.31346   -0.01659
130   12.9000   -0.31171   -0.01849
131   13.0000   -0.30977   -0.02024
132   13.1000   -0.30766   -0.02184
133   13.2000   -0.30541   -0.02331
134   13.3000   -0.30301   -0.02465
135   13.4000   -0.30048   -0.02587
136   13.5000   -0.29784   -0.02698
137   13.6000   -0.29509   -0.02799
138   13.7000   -0.29224   -0.02891
139   13.8000   -0.28931   -0.02975
140   13.9000   -0.28629   -0.03050
141   14.0000   -0.28321   -0.03119
142   14.1000   -0.28006   -0.03180
143   14.2000   -0.27685   -0.03236
144   14.3000   -0.27359   -0.03285
145   14.4000   -0.27028   -0.03330
146   14.5000   -0.26693   -0.03370
147   14.6000   -0.26354   -0.03406
148   14.7000   -0.26012   -0.03437
149   14.8000   -0.25667   -0.03465
150   14.9000   -0.25319   -0.03490
151   15.0000   -0.24969   -0.03511
152   15.1000   -0.24617   -0.03530
153   15.2000   -0.24263   -0.03546
154   15.3000   -0.23908   -0.03560
155   15.4000   -0.23551   -0.03572
156   15.5000   -0.23194   -0.03581
157   15.6000   -0.22835   -0.03589
158   15.7000   -0.22476   -0.03595
159   15.8000   -0.22116   -0.03599
160   15.9000   -0.21756   -0.03602
161   16.0000   -0.21396   -0.03604
162   16.1000   -0.21035   -0.03604
163   16.2000   -0.20675   -0.03602
164   16.3000   -0.20315   -0.03600
165   16.4000   -0.19955   -0.03596
166   16.5000   -0.19596   -0.03591
167   16.6000   -0.19237   -0.03586
168   16.7000   -0.18879   -0.03579
169   16.8000   -0.18521   -0.03571
170   16.9000   -0.18165   -0.03562
171   17.0000   -0.17809   -0.03552
172   17.1000   -0.17454   -0.03540
173   17.2000   -0.17101   -0.03528
174   17.3000   -0.16749   -0.03515
175   17.4000   -0.16398   -0.03501
176   17.5000   -0.16048   -0.03486
177   17.6000   -0.15701   -0.03471
178   17.7000   -0.15354   -0.03454
179   17.8000   -0.15010   -0.03436
180   17.9000   -0.14667   -0.03417
181   18.0000   -0.14327   -0.03397
182   18.1000   -0.13988   -0.03376
183   18.2000   -0.13651   -0.03354
184   18.3000   -0.13317   -0.03331
185   18.4000   -0.12985   -0.03307
186   18.5000   -0.12656   -0.03282
187   18.6000   -0.12329   -0.03256
188   18.7000   -0.12005   -0.03230
189   18.8000   -0.11683   -0.03202
190   18.9000   -0.11364   -0.03173
191   19.0000   -0.11048   -0.03143
192   19.1000   -0.10736   -0.03112
193   19.2000   -0.10426   -0.03080
194   19.3000   -0.10120   -0.03048
195   19.4000   -0.09817   -0.03014
196   19.5000   -0.09517   -0.02979
197   19.6000   -0.09221   -0.02944
198   19.7000   -0.08928   -0.02907
199   19.8000   -0.08639   -0.02870
200   19.9000   -0.08354   -0.02832
201   20.0000   -0.08073   -0.02792
202   20.1000   -0.07796   -0.02753
203   20.2000   -0.07523   -0.02712
204   20.3000   -0.07253   -0.02670
205   20.4000   -0.06989   -0.02628
206   20.5000   -0.06728   -0.02585
207   20.6000   -0.06472   -0.02541
208   20.7000   -0.06220   -0.02497
209   20.8000   -0.05972   -0.02452
210   20.9000   -0.05729   -0.02406
211   21.0000   -0.05491   -0.02360
212   21.1000   -0.05257   -0.02313
213   21.2000   -0.05029   -0.02265
214   21.3000   -0.04804   -0.02217
215   21.4000   -0.04585   -0.02169
216   21.5000   -0.04371   -0.02120
217   21.6000   -0.04161   -0.02071
218   21.7000   -0.03956   -0.02021
219   21.8000   -0.03757   -0.01972
220   21.9000   -0.03562   -0.01921
221   22.0000   -0.03372   -0.01871
222   22.1000   -0.03188   -0.01820
223   22.2000   -0.03008   -0.01770
224   22.3000   -0.02834   -0.01719
225   22.4000   -0.02665   -0.01668
226   22.5000   -0.02501   -0.01616
227   22.6000   -0.02341   -0.01565
228   22.7000   -0.02187   -0.01514
229   22.8000   -0.02039   -0.01463
230   22.9000   -0.01895   -0.01412
231   23.0000   -0.01756   -0.01361
232   23.1000   -0.01623   -0.01311
233   23.2000   -0.01494   -0.01260
234   23.3000   -0.01370   -0.01210
235   23.4000   -0.01252   -0.01160
236   23.5000   -0.01138   -0.01111
237   23.6000   -0.01030   -0.01061
238   23.7000   -0.00926   -0.01013
239   23.8000   -0.00827   -0.00964
