# Interpolated tables after MSCG-FM

HG_MG
N 251 R 0.000010 25.000000

1    0.0000 4752334.45899 18401962.55847
2    0.1000 3226583.67558 12494249.94388
3    0.2000 2190674.42228 8482804.58118
4    0.3000 1487324.58691 5759287.44269
5    0.4000 1009806.42332 3910191.93380
6    0.5000 685597.48675 2654773.28711
7    0.6000 465481.63775 1802423.59977
8    0.7000 316036.28720 1223732.18757
9    0.8000 214572.48817 830837.39896
10    0.9000 145684.84582 564086.74049
11    1.0000 98914.44862 382979.95136
12    1.1000 67160.22298 260019.92115
13    1.2000 45601.03906 176537.85368
14    1.3000 30963.63758 119858.82208
15    1.4000 21025.68929 81377.35193
16    1.5000 14278.37131 55250.87213
17    1.6000 9697.28923 37512.64990
18    1.7000 6586.94392 25469.51975
19    1.8000 4475.13582 17292.99810
20    1.9000 3041.27099 11741.65986
21    2.0000 2067.68681 7972.64966
22    2.1000 1406.60406 5413.73384
23    2.2000  957.68970 3676.39183
24    2.3000  652.82462 2496.84261
25    2.4000  445.75962 1696.01089
26    2.5000  305.09452 1152.29049
27    2.6000  209.51137  783.13864
28    2.7000  144.53518  532.51766
29    2.8000  100.33965  362.34580
30    2.9000   70.25329  246.82260
31    3.0000   49.74475  168.39205
32    3.1000   35.74070  115.11996
33    3.2000   26.15193   78.98623
34    3.3000   19.55970   54.42902
35    3.4000   15.00512   37.74666
36    3.5000   11.83033   26.47284
37    3.6000    9.59374   18.74468
38    3.7000    7.99715   13.54467
39    3.8000    6.82792   10.04433
40    3.9000    5.95642    7.54811
41    4.0000    5.28485    6.00993
42    4.1000    4.74162    4.87902
43    4.2000    4.30107    4.02593
44    4.3000    3.91540    3.71743
45    4.4000    3.56798    3.17909
46    4.5000    3.26970    2.96707
47    4.6000    2.93823    3.66685
48    4.7000    2.56892    3.57601
49    4.8000    2.22919    3.22180
50    4.9000    1.92777    2.79317
51    5.0000    1.67015    2.36669
52    5.1000    1.45322    1.97921
53    5.2000    1.27235    1.64903
54    5.3000    1.12130    1.38234
55    5.4000    0.99384    1.17652
56    5.5000    0.88424    1.02328
57    5.6000    0.78780    0.91145
58    5.7000    0.70096    0.82935
59    5.8000    0.62130    0.76640
60    5.9000    0.54733    0.71403
61    6.0000    0.47835    0.66598
62    6.1000    0.41413    0.61823
63    6.2000    0.35476    0.56869
64    6.3000    0.30047    0.51673
65    6.4000    0.25149    0.46278
66    6.5000    0.20795    0.40789
67    6.6000    0.16989    0.35341
68    6.7000    0.13721    0.30074
69    6.8000    0.10964    0.25116
70    6.9000    0.08684    0.20572
71    7.0000    0.06834    0.16519
72    7.1000    0.05362    0.13002
73    7.2000    0.04215    0.10042
74    7.3000    0.03335    0.07632
75    7.4000    0.02671    0.05746
76    7.5000    0.02170    0.04345
77    7.6000    0.01787    0.03375
78    7.7000    0.01483    0.02778
79    7.8000    0.01221    0.02493
80    7.9000    0.00976    0.02458
81    8.0000    0.00724    0.02614
82    8.1000    0.00448    0.02907
83    8.2000    0.00139    0.03286
84    8.3000   -0.00210    0.03709
85    8.4000   -0.00603    0.04140
86    8.5000   -0.01037    0.04548
87    8.6000   -0.01511    0.04908
88    8.7000   -0.02017    0.05205
89    8.8000   -0.02549    0.05425
90    8.9000   -0.03099    0.05560
91    9.0000   -0.03658    0.05608
92    9.1000   -0.04218    0.05568
93    9.2000   -0.04769    0.05443
94    9.3000   -0.05304    0.05240
95    9.4000   -0.05815    0.04965
96    9.5000   -0.06295    0.04627
97    9.6000   -0.06738    0.04234
98    9.7000   -0.07140    0.03798
99    9.8000   -0.07497    0.03327
100    9.9000   -0.07805    0.02831
101   10.0000   -0.08062    0.02320
102   10.1000   -0.08269    0.01803
103   10.2000   -0.08423    0.01287
104   10.3000   -0.08526    0.00781
105   10.4000   -0.08580    0.00290
106   10.5000   -0.08585   -0.00179
107   10.6000   -0.08545   -0.00622
108   10.7000   -0.08462   -0.01034
109   10.8000   -0.08339   -0.01413
110   10.9000   -0.08180   -0.01756
111   11.0000   -0.07989   -0.02061
112   11.1000   -0.07769   -0.02328
113   11.2000   -0.07525   -0.02555
114   11.3000   -0.07260   -0.02744
115   11.4000   -0.06977   -0.02895
116   11.5000   -0.06682   -0.03008
117   11.6000   -0.06377   -0.03086
118   11.7000   -0.06066   -0.03130
119   11.8000   -0.05752   -0.03142
120   11.9000   -0.05439   -0.03125
121   12.0000   -0.05128   -0.03080
122   12.1000   -0.04823   -0.03011
123   12.2000   -0.04527   -0.02920
124   12.3000   -0.04240   -0.02810
125   12.4000   -0.03965   -0.02683
126   12.5000   -0.03704   -0.02542
127   12.6000   -0.03457   -0.02389
128   12.7000   -0.03226   -0.02226
129   12.8000   -0.03012   -0.02057
130   12.9000   -0.02815   -0.01883
131   13.0000   -0.02636   -0.01707
132   13.1000   -0.02474   -0.01529
133   13.2000   -0.02330   -0.01353
134   13.3000   -0.02203   -0.01180
135   13.4000   -0.02094   -0.01011
136   13.5000   -0.02001   -0.00848
137   13.6000   -0.01924   -0.00691
138   13.7000   -0.01862   -0.00542
139   13.8000   -0.01815   -0.00403
140   13.9000   -0.01781   -0.00272
141   14.0000   -0.01760   -0.00152
142   14.1000   -0.01751   -0.00043
143   14.2000   -0.01751    0.00056
144   14.3000   -0.01761    0.00143
145   14.4000   -0.01779    0.00218
146   14.5000   -0.01805    0.00283
147   14.6000   -0.01836    0.00336
148   14.7000   -0.01871    0.00377
149   14.8000   -0.01911    0.00408
150   14.9000   -0.01953    0.00428
151   15.0000   -0.01996    0.00438
152   15.1000   -0.02040    0.00438
153   15.2000   -0.02083    0.00429
154   15.3000   -0.02125    0.00410
155   15.4000   -0.02165    0.00384
156   15.5000   -0.02202    0.00350
157   15.6000   -0.02235    0.00308
158   15.7000   -0.02263    0.00261
159   15.8000   -0.02287    0.00208
160   15.9000   -0.02305    0.00149
161   16.0000   -0.02317    0.00086
162   16.1000   -0.02322    0.00020
163   16.2000   -0.02321   -0.00049
164   16.3000   -0.02312   -0.00121
165   16.4000   -0.02296   -0.00195
166   16.5000   -0.02273   -0.00270
167   16.6000   -0.02242   -0.00345
168   16.7000   -0.02204   -0.00420
169   16.8000   -0.02158   -0.00494
170   16.9000   -0.02105   -0.00567
171   17.0000   -0.02045   -0.00638
172   17.1000   -0.01978   -0.00707
173   17.2000   -0.01904   -0.00773
174   17.3000   -0.01823   -0.00836
175   17.4000   -0.01736   -0.00896
176   17.5000   -0.01644   -0.00951
177   17.6000   -0.01546   -0.01002
178   17.7000   -0.01444   -0.01049
179   17.8000   -0.01337   -0.01090
180   17.9000   -0.01226   -0.01127
181   18.0000   -0.01111   -0.01158
182   18.1000   -0.00994   -0.01184
183   18.2000   -0.00875   -0.01203
184   18.3000   -0.00754   -0.01218
185   18.4000   -0.00632   -0.01226
186   18.5000   -0.00509   -0.01228
187   18.6000   -0.00386   -0.01225
188   18.7000   -0.00264   -0.01215
189   18.8000   -0.00143   -0.01200
190   18.9000   -0.00024   -0.01179
191   19.0000    0.00092   -0.01152
192   19.1000    0.00206   -0.01120
193   19.2000    0.00316   -0.01082
194   19.3000    0.00422   -0.01039
195   19.4000    0.00524   -0.00992
196   19.5000    0.00620   -0.00939
197   19.6000    0.00711   -0.00882
198   19.7000    0.00797   -0.00820
199   19.8000    0.00875   -0.00755
200   19.9000    0.00948   -0.00686
201   20.0000    0.01012   -0.00613
202   20.1000    0.01070   -0.00538
203   20.2000    0.01120   -0.00460
204   20.3000    0.01162   -0.00380
205   20.4000    0.01196   -0.00298
206   20.5000    0.01222   -0.00214
207   20.6000    0.01239   -0.00130
208   20.7000    0.01247   -0.00044
209   20.8000    0.01248    0.00041
210   20.9000    0.01239    0.00126
211   21.0000    0.01222    0.00211
