# Interpolated tables after MSCG-FM

T2_T2
N 242 R 0.000010 24.000000

1    0.0000 6269721.83704 24277598.56452
2    0.1000 4256808.00775 16483588.71969
3    0.2000 2890139.17333 11191312.89468
4    0.3000 1962213.98582 7598193.05702
5    0.4000 1332227.16937 5158692.43485
6    0.5000 904500.29730 3502426.13795
7    0.6000 614102.81180 2377926.30438
8    0.7000 416940.49131 1614462.19265
9    0.8000 283079.94421 1096118.45206
10    0.9000 192196.92536 744195.90829
11    1.0000 130493.05544 505262.80594
12    1.1000 88599.93076 343042.37477
13    1.2000 60157.06341 232904.98526
14    1.3000 40846.06219 158128.67601
15    1.4000 27735.02149 107360.30479
16    1.5000 18833.35999 72891.79747
17    1.6000 12789.60080 49489.86316
18    1.7000 8686.17574 33601.43919
19    1.8000 5900.11458 22814.19996
20    1.9000 4008.46046 15490.35006
21    2.0000 2724.05128 10517.92666
22    2.1000 1851.92350 7141.95285
23    2.2000 1259.70880 4849.89375
24    2.3000  857.53627 3293.72873
25    2.4000  584.39191 2237.17561
26    2.5000  398.84841 1519.87259
27    2.6000  272.77984 1032.84278
28    2.7000  187.09342  702.18138
29    2.8000  128.82057  477.72068
30    2.9000   89.16181  325.26181
31    3.0000   62.14240  221.80470
32    3.1000   43.69871  151.56992
33    3.2000   31.08449  103.79705
34    3.3000   22.42444   71.50098
35    3.4000   16.44473   49.47064
36    3.5000   12.29740   34.48270
37    3.6000    9.37931   24.51068
38    3.7000    7.30212   17.44334
39    3.8000    5.80714   12.84342
40    3.9000    4.67900    9.82475
41    4.0000    3.83151    7.30785
42    4.1000    3.16214    6.23005
43    4.2000    2.59158    5.12730
44    4.3000    2.13338    4.07206
45    4.4000    1.77366    3.13679
46    4.5000    1.50165    2.32767
47    4.6000    1.30356    1.65691
48    4.7000    1.16555    1.12750
49    4.8000    1.07339    0.73642
50    4.9000    1.01494    0.44510
51    5.0000    0.98240    0.21497
52    5.1000    0.97008    0.03991
53    5.2000    0.97295   -0.09060
54    5.3000    0.98679   -0.17871
55    5.4000    1.00719   -0.22223
56    5.5000    1.02993   -0.22653
57    5.6000    1.05137   -0.19697
58    5.7000    1.06856   -0.14606
59    5.8000    1.08112   -0.11002
60    5.9000    1.09170   -0.10764
61    6.0000    1.10365   -0.13401
62    6.1000    1.11825   -0.15267
63    6.2000    1.13265   -0.12717
64    6.3000    1.14234   -0.06175
65    6.4000    1.14446    0.01978
66    6.5000    1.13853    0.09819
67    6.6000    1.12488    0.17382
68    6.7000    1.10434    0.23247
69    6.8000    1.07945    0.25992
70    6.9000    1.05309    0.26655
71    7.0000    1.02574    0.28463
72    7.1000    0.99511    0.33333
73    7.2000    0.95812    0.40995
