# Interpolated tables after MSCG-FM

MG_T1
N 251 R 0.000010 25.000000

1    0.0000 264163129066.98154 1409956697132.54297
2    0.1000 126596920514.31483 1158153568488.89941
3    0.2000 60743933619.98582 580060468142.17358
4    0.3000 29120651477.10564 111694930991.73763
5    0.4000 13969652418.15019 105805878863.88213
6    0.5000 6698142802.55762 50742433224.81768
7    0.6000 3212815091.66811 24335080028.58326
8    0.7000 1540616709.53846 11670629143.93347
9    0.8000 738917144.51251 5597005823.39709
10    0.9000 354345864.30826 2684214690.40463
11    1.0000 169946168.64544 1287296946.81081
12    1.1000 81499686.25565 617362477.42293
13    1.2000 39086812.69831 296074988.93133
14    1.3000 18744861.26134 141991783.93218
15    1.4000 8989824.14927 68096487.90509
16    1.5000 4311294.32680 32657746.95110
17    1.6000 2067636.52026 15662018.98254
18    1.7000 991595.25018 7511199.67523
19    1.8000 475556.37233 3602225.91908
20    1.9000 228070.60582 1727558.52029
21    2.0000 109382.39689 828504.52622
22    2.1000 52461.25828 397335.88600
23    2.2000 25163.04715 190555.80685
24    2.3000 12071.15848 91388.04616
25    2.4000 5792.44312 43829.25310
26    2.5000 2781.16992 21020.87089
27    2.6000 1336.88071 10082.45085
28    2.7000  644.11727 4836.66564
29    2.8000  311.75021 2320.75362
30    2.9000  152.21825 1114.30209
31    3.0000   75.60296  535.65972
32    3.1000   38.71479  258.09444
33    3.2000   20.90591  125.12186
34    3.3000   12.24690   61.20249
35    3.4000    7.94819   30.61909
36    3.5000    5.78192   16.00135
37    3.6000    4.60616    8.84368
38    3.7000    3.90993    5.57736
39    3.8000    3.47058    3.91831
40    3.9000    3.10983    3.08621
41    4.0000    2.82497    2.81384
42    4.1000    2.56574    2.60850
43    4.2000    2.29699    2.47418
44    4.3000    2.06123    2.33431
45    4.4000    1.84487    2.03081
46    4.5000    1.65031    1.85021
47    4.6000    1.47518    1.64171
48    4.7000    1.32073    1.43897
49    4.8000    1.18636    1.27173
50    4.9000    1.06677    1.14223
51    5.0000    0.95699    1.03358
52    5.1000    0.85839    0.92550
53    5.2000    0.77152    0.83175
54    5.3000    0.69221    0.77307
55    5.4000    0.61662    0.73177
56    5.5000    0.54425    0.69358
57    5.6000    0.47767    0.65993
58    5.7000    0.41367    0.63104
59    5.8000    0.35073    0.60710
60    5.9000    0.29228    0.56454
61    6.0000    0.23838    0.50744
62    6.1000    0.18982    0.47089
63    6.2000    0.14434    0.45657
64    6.3000    0.09825    0.45785
65    6.4000    0.05250    0.44980
66    6.5000    0.00825    0.42585
67    6.6000   -0.03290    0.41088
68    6.7000   -0.07263    0.39632
69    6.8000   -0.11318    0.38576
70    6.9000   -0.15082    0.38122
71    7.0000   -0.18733    0.36652
72    7.1000   -0.22454    0.34667
73    7.2000   -0.25802    0.32524
74    7.3000   -0.28830    0.30320
75    7.4000   -0.31830    0.29027
76    7.5000   -0.34750    0.27727
77    7.6000   -0.37367    0.25908
78    7.7000   -0.39760    0.22536
79    7.8000   -0.41985    0.19072
80    7.9000   -0.43686    0.17059
81    8.0000   -0.45154    0.14580
82    8.1000   -0.46742    0.12945
83    8.2000   -0.47861    0.11066
84    8.3000   -0.48711    0.07494
85    8.4000   -0.49463    0.04796
86    8.5000   -0.49763    0.02641
87    8.6000   -0.49892    0.00653
88    8.7000   -0.49960    0.00278
89    8.8000   -0.49992    0.00179
90    8.9000   -0.49958   -0.00458
91    9.0000   -0.49857   -0.01983
92    9.1000   -0.49625   -0.03543
93    9.2000   -0.49117   -0.04898
94    9.3000   -0.48587   -0.06177
95    9.4000   -0.47963   -0.07205
96    9.5000   -0.47120   -0.08994
97    9.6000   -0.46167   -0.10348
98    9.7000   -0.45076   -0.10571
99    9.8000   -0.44006   -0.11234
100    9.9000   -0.42920   -0.11520
101   10.0000   -0.41685   -0.11637
102   10.1000   -0.40510   -0.11893
103   10.2000   -0.39359   -0.12492
104   10.3000   -0.38045   -0.13625
105   10.4000   -0.36617   -0.13903
106   10.5000   -0.35236   -0.13131
107   10.6000   -0.34022   -0.12472
108   10.7000   -0.32772   -0.12736
109   10.8000   -0.31450   -0.13121
110   10.9000   -0.30150   -0.12360
111   11.0000   -0.28945   -0.11713
112   11.1000   -0.27878   -0.11210
113   11.2000   -0.26710   -0.10584
114   11.3000   -0.25636   -0.10572
115   11.4000   -0.24675   -0.10749
116   11.5000   -0.23563   -0.10384
117   11.6000   -0.22470   -0.10011
118   11.7000   -0.21599   -0.08990
119   11.8000   -0.20772   -0.07925
120   11.9000   -0.19901   -0.07842
121   12.0000   -0.19182   -0.08020
122   12.1000   -0.18399   -0.07770
123   12.2000   -0.17553   -0.07718
124   12.3000   -0.16830   -0.07623
125   12.4000   -0.16130   -0.06898
126   12.5000   -0.15393   -0.06726
127   12.6000   -0.14759   -0.06352
128   12.7000   -0.14157   -0.06204
129   12.8000   -0.13499   -0.06597
130   12.9000   -0.12814   -0.07234
131   13.0000   -0.12068   -0.07593
132   13.1000   -0.11315   -0.07614
133   13.2000   -0.10556   -0.06976
134   13.3000   -0.09902   -0.06255
135   13.4000   -0.09334   -0.05622
136   13.5000   -0.08769   -0.05279
137   13.6000   -0.08226   -0.05575
138   13.7000   -0.07681   -0.06027
139   13.8000   -0.07063   -0.05969
140   13.9000   -0.06448   -0.05246
141   14.0000   -0.06004   -0.04312
142   14.1000   -0.05614   -0.04216
143   14.2000   -0.05153   -0.04935
144   14.3000   -0.04623   -0.04973
145   14.4000   -0.04126   -0.04545
146   14.5000   -0.03772   -0.03681
147   14.6000   -0.03403   -0.03009
148   14.7000   -0.03112   -0.02676
149   14.8000   -0.02891   -0.02411
150   14.9000   -0.02631   -0.02409
151   15.0000   -0.02384   -0.02698
152   15.1000   -0.02108   -0.02600
153   15.2000   -0.01862   -0.02460
154   15.3000   -0.01619   -0.02286
155   15.4000   -0.01407   -0.02142
156   15.5000   -0.01201   -0.01905
157   15.6000   -0.01021   -0.01455
158   15.7000   -0.00914   -0.00810
159   15.8000   -0.00846   -0.00373
160   15.9000   -0.00818   -0.00805
161   16.0000   -0.00729   -0.01114
162   16.1000   -0.00570   -0.01053
163   16.2000   -0.00501   -0.00522
164   16.3000   -0.00508    0.00055
165   16.4000   -0.00504    0.00123
166   16.5000   -0.00505   -0.00053
167   16.6000   -0.00504   -0.00006
168   16.7000   -0.00503   -0.00011
169   16.8000   -0.00502   -0.00005
170   16.9000   -0.00502    0.00003
171   17.0000   -0.00502   -0.00007
172   17.1000   -0.00501   -0.00025
173   17.2000   -0.00498   -0.00028
174   17.3000   -0.00496    0.00021
175   17.4000   -0.00498    0.00043
176   17.5000   -0.00503   -0.00043
177   17.6000   -0.00496   -0.00146
