# Interpolated tables after MSCG-FM

SL_T2
N 251 R 0.000010 25.000000

1    0.0000 142111090118239290402115256582144.00000 758510409707030050200293495275520.00000
2    0.1000 68104986651814871891139775954944.00000 623048593991888513081514938859520.00000
3    0.2000 32678241865162988520807348568064.00000 312053486634798524830680661098496.00000
4    0.3000 15665954365044424773805029720064.00000 60088205573496713290471998226432.00000
5    0.4000 7515214326793370131837352935424.00000 56920088884991016140243013206016.00000
6    0.5000 3603380900456099248976009625600.00000 27297763038676875699018723753984.00000
7    0.6000 1728389026483459548301920043008.00000 13091474056222767426561715994624.00000
8    0.7000 828801200604514594565937692672.00000 6278415294393328457232796352512.00000
9    0.8000 397513157091720564011348000768.00000 3011005364222929480793578274816.00000
10    0.9000 190626435161867338213675237376.00000 1444019370855476845894776651776.00000
11    1.0000 91425453457085407866308788224.00000 692523490054952523705855508480.00000
12    1.1000 43844150038002249304192843776.00000 332120741561638671328252788736.00000
13    1.2000 21027416741729097583725379584.00000 159278621677800512670652170240.00000
14    1.3000 10084114894679705059130867712.00000 76386916409650086899984891904.00000
15    1.4000 4836225342071695443767590912.00000 36633673352461697748062699520.00000
16    1.5000 2319330041701427755459018752.00000 17568794322025054615887675392.00000
17    1.6000 1112315939936628586844258304.00000 8425650656430237612607799296.00000
18    1.7000 533441191686412780076793856.00000 4040777510566272621913047040.00000
19    1.8000 255829354949297436832563200.00000 1937877981854985965652672512.00000
20    1.9000 122690264993714620107587584.00000 929368435341563241166798848.00000
21    2.0000 58840034864579797764276224.00000 445706951983862780061024256.00000
22    2.1000 28218466671184813372735488.00000 213752349974889646480424960.00000
23    2.2000 13533049012421168996548608.00000 102511452685265635219865600.00000
24    2.3000 6490177537600597409136640.00000 49162490765027558710837248.00000
25    2.4000 3112565465565540804198400.00000 23577370478223820027068416.00000
26    2.5000 1492724504585210062438400.00000 11307246439654805087453184.00000
27    2.6000 715881921219876989435904.00000 5422734573610435619061760.00000
28    2.7000 343322844377467653718016.00000 2600637601096423041925120.00000
29    2.8000 164650983674455548493824.00000 1247215005718705428496384.00000
30    2.9000 78963377425875145326592.00000 598139959921403483914240.00000
31    3.0000 37869300562590825447424.00000 286856243722479340617728.00000
32    3.1000 18161374536275486310400.00000 137570652483045931614208.00000
33    3.2000 8709841445484806275072.00000 65976198318070263971840.00000
34    3.3000 4177069541168704913408.00000 31640896266315078041600.00000
35    3.4000 2003241094396151332864.00000 15174355935290487472128.00000
36    3.5000 960715265615739092992.00000 7277324767061724889088.00000
37    3.6000 460740294798024048640.00000 3490062839644085026816.00000
38    3.7000 220962042115608281088.00000 1673765980569603932160.00000
39    3.8000 105969082220894961664.00000 802705477359778136064.00000
40    3.9000 50820701649918902272.00000 384961870932586070016.00000
41    4.0000 24372616294358368256.00000 184620195391409750016.00000
42    4.1000 11688630709196654592.00000 88540240267928125440.00000
43    4.2000 5605639055043950592.00000 42462170133025464320.00000
44    4.3000 2688355006242123264.00000 20364027553459339264.00000
45    4.4000 1289282564609704704.00000 9766189926207246336.00000
46    4.5000 618314738034767488.00000 4683673965003518976.00000
47    4.6000 296531673889318720.00000 2246198566299137536.00000
48    4.7000 142210799631676032.00000 1077232966458310912.00000
49    4.8000 68201522348510784.00000 516619893465835520.00000
50    4.9000 32708118185846312.00000 247760811853115648.00000
51    5.0000 15686174735979442.00000 118821246851916688.00000
52    5.1000 7522783065029641.00000 56984349533913552.00000
53    5.2000 3607779847085066.00000 27328581190956008.00000
54    5.3000 1730220757983200.75000 13106253840209144.00000
55    5.4000 829780086271304.50000 6285503390159274.00000
56    5.5000 397946324566881.50000 3014404676529085.00000
57    5.6000 190847285803313.65625 1445649614652449.25000
58    5.7000 91526631212930.62500 693305323143002.62500
59    5.8000 43894384911973.14844 332495693442274.75000
60    5.9000 21050889790736.11719 159458441277330.53125
61    6.0000 10095595641868.68359 76473154377893.67188
62    6.1000 4841650513147.51855 36675031397892.97656
63    6.2000 2321961033719.77441 17588628832934.08398
64    6.3000 1113567166253.85938 8435162900514.80469
65    6.4000 534045066125.67957 4045339397065.03955
66    6.5000 256117584363.78821 1940065773530.97949
67    6.6000 122828991750.65324 930417657504.17151
68    6.7000 58906385720.84273 446210138442.93976
69    6.8000 28250352211.83711 213993668374.06799
70    6.9000 13548317221.44013 102627184276.92596
71    7.0000 6497508355.65057 49217993376.38652
72    7.1000 3116078118.60458 23603988446.83832
73    7.2000 1494410212.75335 11320011897.69516
74    7.3000 716689954.59309 5428856638.10816
75    7.4000 343710506.84254 2603573623.78572
76    7.5000 164836847.59251 1248623064.97905
77    7.6000 79052533.82320 598815237.76159
78    7.7000 37912052.20657 287180093.90046
79    7.8000 18181880.64272 137725964.82167
80    7.9000 8719675.65950 66050683.19748
81    8.0000 4181786.92446 31676617.87434
82    8.1000 2005504.09627 15191487.43894
83    8.2000 961801.34090 7285540.81485
84    8.3000 461261.86981 3494003.21236
85    8.4000 221212.90362 1675655.82298
86    8.5000 106090.09528 803611.92195
87    8.6000 50879.43309 385396.70239
88    8.7000 24401.46664 184828.84630
89    8.8000 11703.13871 88640.41999
90    8.9000 5613.25766 42510.33260
91    9.0000 2692.65796 20387.23790
92    9.1000 1291.98336 9777.43855
93    9.2000  620.23641 4689.18474
94    9.3000  298.06743 2248.95438
95    9.4000  143.55012 1078.67358
96    9.5000   69.43551  517.42419
97    9.6000   33.87918  248.26191
98    9.7000   16.81630  119.17984
99    9.8000    8.62141   57.26825
100    9.9000    4.67935   27.58303
101   10.0000    2.77815   13.34377
102   10.1000    1.85389    6.51241
103   10.2000    1.39950    3.24283
104   10.3000    1.17034    1.66763
105   10.4000    1.04796    0.91592
106   10.5000    0.97874    0.55738
107   10.6000    0.93342    0.37864
108   10.7000    0.89988    0.30092
109   10.8000    0.87317    0.25921
110   10.9000    0.84767    0.23627
111   11.0000    0.82456    0.23437
112   11.1000    0.80214    0.22796
113   11.2000    0.77837    0.22546
114   11.3000    0.75623    0.22756
115   11.4000    0.73423    0.22167
116   11.5000    0.71134    0.22134
117   11.6000    0.68956    0.21843
118   11.7000    0.66808    0.21551
119   11.8000    0.64644    0.21773
120   11.9000    0.62434    0.22029
121   12.0000    0.60239    0.21817
122   12.1000    0.58085    0.21575
123   12.2000    0.55932    0.21286
124   12.3000    0.53821    0.21071
125   12.4000    0.51731    0.20443
126   12.5000    0.49709    0.20035
127   12.6000    0.47732    0.19820
128   12.7000    0.45739    0.20069
129   12.8000    0.43717    0.20333
130   12.9000    0.41695    0.19853
131   13.0000    0.39727    0.19053
132   13.1000    0.37886    0.18502
133   13.2000    0.36063    0.18176
134   13.3000    0.34219    0.17972
135   13.4000    0.32451    0.17570
136   13.5000    0.30736    0.17033
137   13.6000    0.29045    0.16667
138   13.7000    0.27389    0.16224
