# Interpolated tables after MSCG-FM

MG_T2
N 251 R 0.000010 25.000000

1    0.0000 987647122354.90710 5271514156943.27051
2    0.1000 473317698353.94330 4330078324120.32178
3    0.2000 227108042840.53403 2168716937127.92285
4    0.3000 108875631984.65556 417602477557.71838
5    0.4000 52229419946.63496 395584622877.59424
6    0.5000 25042864531.26712 189714659773.64444
7    0.6000 12012000245.92991 90983445896.67628
8    0.7000 5760022818.91226 43633883840.09320
9    0.8000 2762646648.33076 20925958565.73181
10    0.9000 1324820259.00570 10035681066.45130
11    1.0000 635390855.20295 4812916653.80261
12    1.1000 304709151.33691 2308180836.53101
13    1.2000 146136861.27188 1106958453.57437
14    1.3000 70082834.89655 530875657.35810
15    1.4000 33610923.85907 254597598.46313
16    1.5000 16118943.32847 122100037.01980
17    1.6000 7730407.14075 58556793.96703
18    1.7000 3707329.12845 28082695.53294
19    1.8000 1777975.47862 13467913.18193
20    1.9000 852682.04420 6458948.78511
21    2.0000 408933.99890 3097586.48778
22    2.1000 196119.35503 1485542.75374
23    2.2000 94058.12692 712437.93438
24    2.3000 45111.26310 341672.16851
25    2.4000 21637.32680 163859.97221
26    2.5000 10379.55329 78584.75886
27    2.6000 4980.50732 37688.55065
28    2.7000 2391.14561 18075.30675
29    2.8000 1149.24996 8669.38131
30    2.9000  553.61805 4158.41286
31    3.0000  267.86163 1994.93253
32    3.1000  130.75574  957.60263
33    3.2000   64.94308  459.88726
34    3.3000   33.27415  221.29332
35    3.4000   18.04617  106.96153
36    3.5000   10.65396   51.88742
37    3.6000    7.02302   25.73705
38    3.7000    5.24196   13.06120
39    3.8000    4.27647    6.90807
40    3.9000    3.75986    4.22936
41    4.0000    3.44819    2.56929
42    4.1000    3.18861    1.97248
43    4.2000    3.03684    2.01215
44    4.3000    2.83355    2.02629
45    4.4000    2.58670    2.17883
46    4.5000    2.39753    2.11170
47    4.6000    2.20624    1.76972
48    4.7000    2.02122    1.67473
49    4.8000    1.86880    1.39932
50    4.9000    1.74861    1.16215
51    5.0000    1.63406    1.07937
52    5.1000    1.52681    1.08053
53    5.2000    1.42271    0.96608
54    5.3000    1.32734    0.87482
55    5.4000    1.24859    0.84992
56    5.5000    1.16551    0.81320
57    5.6000    1.07711    0.78100
58    5.7000    1.00740    0.72272
59    5.8000    0.94192    0.64656
60    5.9000    0.87220    0.65129
61    6.0000    0.81038    0.62801
62    6.1000    0.74998    0.56403
63    6.2000    0.69334    0.56535
64    6.3000    0.63875    0.58977
65    6.4000    0.57648    0.60443
66    6.5000    0.51427    0.61581
67    6.6000    0.45586    0.59289
68    6.7000    0.39746    0.56947
69    6.8000    0.34033    0.54788
70    6.9000    0.28771    0.51856
71    7.0000    0.23837    0.48043
72    7.1000    0.19024    0.45573
73    7.2000    0.14556    0.45636
74    7.3000    0.10127    0.45804
75    7.4000    0.05341    0.45596
76    7.5000    0.00911    0.42574
77    7.6000   -0.03107    0.39481
78    7.7000   -0.06804    0.36425
79    7.8000   -0.10430    0.32717
80    7.9000   -0.13488    0.27342
81    8.0000   -0.15732    0.21244
82    8.1000   -0.17805    0.17546
83    8.2000   -0.19449    0.18114
84    8.3000   -0.21203    0.17583
85    8.4000   -0.23049    0.15314
86    8.5000   -0.24429    0.12711
87    8.6000   -0.25362    0.09928
88    8.7000   -0.26389    0.08601
89    8.8000   -0.27335    0.08069
90    8.9000   -0.27883    0.06656
91    9.0000   -0.28521    0.04347
92    9.1000   -0.28960    0.02907
93    9.2000   -0.29039    0.00777
94    9.3000   -0.29063   -0.00311
95    9.4000   -0.29074   -0.00090
96    9.5000   -0.29074    0.00313
97    9.6000   -0.29065    0.00353
98    9.7000   -0.29084   -0.01245
99    9.8000   -0.28911   -0.03603
100    9.9000   -0.28346   -0.05307
101   10.0000   -0.27761   -0.05960
102   10.1000   -0.27286   -0.05250
103   10.2000   -0.26733   -0.04661
104   10.3000   -0.26183   -0.06383
105   10.4000   -0.25619   -0.07400
106   10.5000   -0.24723   -0.07209
107   10.6000   -0.23952   -0.07662
108   10.7000   -0.23428   -0.07026
109   10.8000   -0.22549   -0.07183
110   10.9000   -0.21792   -0.08024
111   11.0000   -0.21093   -0.07816
112   11.1000   -0.20256   -0.07862
113   11.2000   -0.19484   -0.07032
114   11.3000   -0.18778   -0.06293
115   11.4000   -0.18281   -0.07055
116   11.5000   -0.17498   -0.06870
117   11.6000   -0.16656   -0.07172
118   11.7000   -0.16171   -0.06506
119   11.8000   -0.15517   -0.05431
120   11.9000   -0.14878   -0.05477
121   12.0000   -0.14453   -0.04864
122   12.1000   -0.13960   -0.05295
123   12.2000   -0.13398   -0.05911
124   12.3000   -0.12757   -0.04869
125   12.4000   -0.12331   -0.04376
126   12.5000   -0.12006   -0.04708
127   12.6000   -0.11382   -0.05813
128   12.7000   -0.10739   -0.06535
129   12.8000   -0.10203   -0.04742
130   12.9000   -0.09742   -0.03539
131   13.0000   -0.09485   -0.03311
132   13.1000   -0.09138   -0.03333
133   13.2000   -0.08731   -0.03673
134   13.3000   -0.08426   -0.03146
135   13.4000   -0.08086   -0.03269
136   13.5000   -0.07777   -0.04466
137   13.6000   -0.07288   -0.04181
138   13.7000   -0.06799   -0.03670
139   13.8000   -0.06605   -0.02955
140   13.9000   -0.06315   -0.02612
141   14.0000   -0.05959   -0.03147
142   14.1000   -0.05702   -0.02741
143   14.2000   -0.05454   -0.01987
144   14.3000   -0.05257   -0.02158
145   14.4000   -0.05037   -0.02624
146   14.5000   -0.04773   -0.02451
147   14.6000   -0.04506   -0.01774
148   14.7000   -0.04407   -0.01007
149   14.8000   -0.04344   -0.00946
150   14.9000   -0.04165   -0.02097
151   15.0000   -0.03940   -0.03008
152   15.1000   -0.03618   -0.02284
153   15.2000   -0.03423   -0.01077
154   15.3000   -0.03404   -0.00681
155   15.4000   -0.03338   -0.01417
156   15.5000   -0.03088   -0.02334
157   15.6000   -0.02821   -0.02406
158   15.7000   -0.02685   -0.01360
159   15.8000   -0.02550   -0.00675
160   15.9000   -0.02499   -0.00794
161   16.0000   -0.02419   -0.01111
162   16.1000   -0.02244   -0.01892
163   16.2000   -0.02059   -0.02289
164   16.3000   -0.01812   -0.01834
165   16.4000   -0.01660   -0.01344
166   16.5000   -0.01580   -0.00847
167   16.6000   -0.01499   -0.00470
168   16.7000   -0.01437   -0.00425
169   16.8000   -0.01416   -0.00503
170   16.9000   -0.01364   -0.00811
171   17.0000   -0.01235   -0.01065
172   17.1000   -0.01143   -0.00989
173   17.2000   -0.01069   -0.00544
174   17.3000   -0.01022   -0.00338
175   17.4000   -0.01001   -0.00178
176   17.5000   -0.00982   -0.00107
177   17.6000   -0.00971   -0.00266
178   17.7000   -0.00943   -0.00343
179   17.8000   -0.00899   -0.00273
180   17.9000   -0.00877   -0.00169
181   18.0000   -0.00882    0.00015
182   18.1000   -0.00864   -0.00130
183   18.2000   -0.00835   -0.00765
184   18.3000   -0.00755   -0.01127
185   18.4000   -0.00605   -0.00885
186   18.5000   -0.00540   -0.00439
187   18.6000   -0.00554   -0.00203
188   18.7000   -0.00516   -0.00401
189   18.8000   -0.00435   -0.00630
