# Interpolated tables after MSCG-FM

T1_T2
N 251 R 0.000010 25.000000

1    0.0000 55631646852.42886 296930965756.47284
2    0.1000 26660780410.87551 243902283159.31079
3    0.2000 12792417618.97390 122158301283.49109
4    0.3000 6132687056.69444 23522483917.91216
5    0.4000 2941950211.89374 22282274243.87610
6    0.5000 1410600789.99437 10686143579.34475
7    0.6000 676605394.48668 5124865773.07916
8    0.7000 324447429.66337 2457785543.16428
9    0.8000 155612864.05045 1178705950.29993
10    0.9000 74623765.40231 565284356.59314
11    1.0000 35789962.74330 271099339.76632
12    1.1000 17163504.29531 130013950.86532
13    1.2000 8231530.75274 62352153.51625
14    1.3000 3947600.82068 29902876.95594
15    1.4000 1893230.64482 14340837.58300
16    1.5000 907951.59504 6877587.37599
17    1.6000 435446.38660 3298358.41403
18    1.7000 208836.32364 1581830.00845
19    1.8000 100160.40462 758616.55486
20    1.9000 48040.65911 363819.48653
21    2.0000 23045.12815 174482.43211
22    2.1000 11057.48359 83680.18349
23    2.2000 5308.31379 40133.13707
24    2.3000 2550.91985 19248.80507
25    2.4000 1228.36444 9233.17922
26    2.5000  593.91643 4429.76442
27    2.6000  289.45859 2126.21663
28    2.7000  143.28615 1021.48862
29    2.8000   72.99670  491.59064
30    2.9000   39.10980  237.58915
31    3.0000   22.69420  115.68266
32    3.1000   14.62668   57.22266
33    3.2000   10.59443   29.27678
34    3.3000    8.48265   15.73660
35    3.4000    7.28068    9.35275
36    3.5000    6.54705    6.27254
37    3.6000    6.00226    4.70849
38    3.7000    5.56782    4.08275
39    3.8000    5.19364    3.75891
40    3.9000    4.81875    3.51520
41    4.0000    4.47434    3.32952
42    4.1000    4.16436    3.00670
43    4.2000    3.87397    2.79470
44    4.3000    3.60021    2.65601
45    4.4000    3.34319    2.50185
46    4.5000    3.10144    2.32135
47    4.6000    2.87854    2.12149
48    4.7000    2.67711    1.91173
49    4.8000    2.49732    1.70887
50    4.9000    2.33515    1.51547
51    5.0000    2.19212    1.33757
52    5.1000    2.06717    1.18892
53    5.2000    1.95440    1.07842
54    5.3000    1.85047    0.98765
55    5.4000    1.75499    0.90656
56    5.5000    1.66872    0.85125
57    5.6000    1.58568    0.82037
58    5.7000    1.50338    0.80017
59    5.8000    1.42458    0.77595
60    5.9000    1.34912    0.75003
61    6.0000    1.27476    0.73635
62    6.1000    1.20117    0.72559
63    6.2000    1.12989    0.70460
64    6.3000    1.06058    0.67872
65    6.4000    0.99408    0.65268
66    6.5000    0.92997    0.62860
67    6.6000    0.86786    0.61590
68    6.7000    0.80712    0.60778
69    6.8000    0.74607    0.60081
70    6.9000    0.68674    0.59021
71    7.0000    0.62897    0.56602
72    7.1000    0.57323    0.53781
73    7.2000    0.52110    0.51302
74    7.3000    0.47101    0.49413
75    7.4000    0.42191    0.48680
76    7.5000    0.37384    0.47162
77    7.6000    0.32746    0.44805
78    7.7000    0.28402    0.42652
79    7.8000    0.24256    0.41249
80    7.9000    0.20148    0.40237
81    8.0000    0.16166    0.38925
82    8.1000    0.12392    0.36844
83    8.2000    0.08813    0.34795
84    8.3000    0.05399    0.33454
85    8.4000    0.02123    0.32548
86    8.5000   -0.01097    0.31577
87    8.6000   -0.04221    0.30472
88    8.7000   -0.07169    0.28897
89    8.8000   -0.09986    0.27266
90    8.9000   -0.12632    0.25786
91    9.0000   -0.15108    0.23627
92    9.1000   -0.17404    0.21691
93    9.2000   -0.19422    0.19810
94    9.3000   -0.21320    0.17676
95    9.4000   -0.23024    0.15658
96    9.5000   -0.24421    0.13216
97    9.6000   -0.25655    0.10966
98    9.7000   -0.26673    0.09738
99    9.8000   -0.27552    0.08237
100    9.9000   -0.28343    0.06665
101   10.0000   -0.28911    0.05010
102   10.1000   -0.29299    0.03124
103   10.2000   -0.29570    0.01900
104   10.3000   -0.29694    0.01009
105   10.4000   -0.29749    0.00069
106   10.5000   -0.29726   -0.00972
107   10.6000   -0.29593   -0.01566
108   10.7000   -0.29385   -0.01705
109   10.8000   -0.29219   -0.01966
110   10.9000   -0.29030   -0.02976
111   11.0000   -0.28639   -0.04285
112   11.1000   -0.28146   -0.04823
113   11.2000   -0.27685   -0.04258
114   11.3000   -0.27308   -0.03923
115   11.4000   -0.26920   -0.04177
116   11.5000   -0.26444   -0.04745
117   11.6000   -0.25951   -0.05223
118   11.7000   -0.25441   -0.05171
119   11.8000   -0.24900   -0.05229
120   11.9000   -0.24394   -0.05249
121   12.0000   -0.23866   -0.05225
122   12.1000   -0.23320   -0.05577
123   12.2000   -0.22771   -0.05830
124   12.3000   -0.22164   -0.05754
125   12.4000   -0.21586   -0.05839
126   12.5000   -0.21050   -0.05412
127   12.6000   -0.20490   -0.04946
128   12.7000   -0.20000   -0.05199
129   12.8000   -0.19527   -0.05314
130   12.9000   -0.18926   -0.05303
131   13.0000   -0.18398   -0.05272
132   13.1000   -0.17953   -0.04657
133   13.2000   -0.17448   -0.04592
134   13.3000   -0.16995   -0.04872
135   13.4000   -0.16528   -0.04535
136   13.5000   -0.16048   -0.04375
137   13.6000   -0.15640   -0.04549
138   13.7000   -0.15189   -0.04659
139   13.8000   -0.14685   -0.04712
140   13.9000   -0.14228   -0.04307
141   14.0000   -0.13836   -0.04050
142   14.1000   -0.13431   -0.04336
143   14.2000   -0.12964   -0.04573
144   14.3000   -0.12487   -0.04614
145   14.4000   -0.12060   -0.04509
146   14.5000   -0.11610   -0.04471
147   14.6000   -0.11141   -0.04495
148   14.7000   -0.10707   -0.04383
149   14.8000   -0.10275   -0.04355
150   14.9000   -0.09835   -0.04538
151   15.0000   -0.09369   -0.04559
152   15.1000   -0.08919   -0.04327
153   15.2000   -0.08496   -0.04267
154   15.3000   -0.08076   -0.04466
155   15.4000   -0.07613   -0.04644
156   15.5000   -0.07144   -0.04225
157   15.6000   -0.06750   -0.03707
158   15.7000   -0.06423   -0.03477
159   15.8000   -0.06073   -0.03426
160   15.9000   -0.05693   -0.03418
161   16.0000   -0.05383   -0.03434
162   16.1000   -0.05052   -0.03398
163   16.2000   -0.04673   -0.03615
164   16.3000   -0.04331   -0.03423
165   16.4000   -0.04008   -0.02973
166   16.5000   -0.03733   -0.02601
167   16.6000   -0.03491   -0.02201
168   16.7000   -0.03273   -0.02064
169   16.8000   -0.03084   -0.02093
170   16.9000   -0.02848   -0.02385
171   17.0000   -0.02614   -0.02480
172   17.1000   -0.02369   -0.01939
173   17.2000   -0.02182   -0.01657
174   17.3000   -0.02067   -0.01805
175   17.4000   -0.01855   -0.01865
176   17.5000   -0.01633   -0.01848
177   17.6000   -0.01512   -0.01167
178   17.7000   -0.01417   -0.00792
179   17.8000   -0.01334   -0.00925
180   17.9000   -0.01234   -0.00971
181   18.0000   -0.01129   -0.00916
182   18.1000   -0.01057   -0.00841
183   18.2000   -0.00972   -0.00738
184   18.3000   -0.00899   -0.00691
185   18.4000   -0.00836   -0.00537
186   18.5000   -0.00793   -0.00398
187   18.6000   -0.00762   -0.00215
188   18.7000   -0.00738   -0.00097
189   18.8000   -0.00738   -0.00207
190   18.9000   -0.00717   -0.00263
191   19.0000   -0.00670   -0.00255
192   19.1000   -0.00652   -0.00237
193   19.2000   -0.00645   -0.00275
194   19.3000   -0.00599   -0.00386
195   19.4000   -0.00550   -0.00420
