# Interpolated tables after MSCG-FM

T1_T1
N 251 R 0.000010 25.000000

1    0.0000 113737624259.29016 607068539771.31677
2    0.1000 54507353203.59033 498652616129.23767
3    0.2000 26153803995.30700 249749841319.41376
4    0.3000 12538137817.36577 48091178117.72737
5    0.4000 6014749621.25596 45555597923.55632
6    0.5000 2883940899.56878 21847575112.14630
7    0.6000 1383304171.71568 10477670364.96560
8    0.7000 663325301.12570 5024886090.72301
9    0.8000 318146909.76729 2409837240.07177
10    0.9000 152566558.02717 1155710880.45544
11    1.0000 73171740.76688 554256370.21734
12    1.1000 35090374.61520 265810532.88206
13    1.2000 16829160.20242 127477542.31846
14    1.3000 8070764.21164 61135741.59566
15    1.4000 3870651.90880 29319509.50850
16    1.5000 1856271.88426 14061065.95455
17    1.6000 890246.19170 6743414.43212
18    1.7000 426947.46443 3234011.61444
19    1.8000 204762.41368 1550970.61212
20    1.9000 98205.13208 743816.99151
21    2.0000 47102.69749 356721.85705
22    2.1000 22594.59803 171078.64601
23    2.2000 10840.88803 82047.72652
24    2.3000 5203.82726 39350.26806
25    2.4000 2500.24340 18873.41720
26    2.5000 1203.47165 9053.06198
27    2.6000  581.38683 4343.47930
28    2.7000  282.87707 2084.81483
29    2.8000  139.53045 1001.59273
30    2.9000   70.61261  482.15876
31    3.0000   37.38457  232.97345
32    3.1000   21.26339  113.51922
33    3.2000   13.36508   56.23518
34    3.3000    9.39220   28.70482
35    3.4000    7.30910   15.58365
36    3.5000    6.14052    9.23041
37    3.6000    5.39078    6.18782
38    3.7000    4.86271    4.77210
39    3.8000    4.43031    4.06662
40    3.9000    4.03906    3.71014
41    4.0000    3.68217    3.48842
42    4.1000    3.34588    3.25571
43    4.2000    3.02883    3.10165
44    4.3000    2.72498    2.95325
45    4.4000    2.43975    2.79881
46    4.5000    2.16880    2.56044
47    4.6000    1.92511    2.27931
48    4.7000    1.71566    1.96356
49    4.8000    1.53319    1.68222
50    4.9000    1.37624    1.45839
51    5.0000    1.24143    1.24365
52    5.1000    1.12597    1.05677
53    5.2000    1.02911    0.90169
54    5.3000    0.94573    0.76876
55    5.4000    0.87304    0.67386
56    5.5000    0.81008    0.60919
57    5.6000    0.75141    0.56767
58    5.7000    0.69506    0.54870
59    5.8000    0.64172    0.52807
60    5.9000    0.59026    0.49397
61    6.0000    0.54184    0.46502
62    6.1000    0.49727    0.44621
63    6.2000    0.45341    0.43538
64    6.3000    0.40933    0.42767
65    6.4000    0.36761    0.41120
66    6.5000    0.32792    0.38837
67    6.6000    0.28965    0.37189
68    6.7000    0.25303    0.36441
69    6.8000    0.21752    0.35253
70    6.9000    0.18256    0.33163
71    7.0000    0.15009    0.31255
72    7.1000    0.12037    0.30804
73    7.2000    0.08955    0.30753
74    7.3000    0.05776    0.30218
75    7.4000    0.02891    0.28287
76    7.5000    0.00269    0.25395
77    7.6000   -0.02274    0.24105
78    7.7000   -0.04574    0.22907
79    7.8000   -0.06871    0.22556
80    7.9000   -0.09121    0.23265
81    8.0000   -0.11456    0.23463
82    8.1000   -0.13915    0.23845
83    8.2000   -0.16183    0.23952
84    8.3000   -0.18638    0.23742
85    8.4000   -0.21066    0.24839
86    8.5000   -0.23488    0.24996
87    8.6000   -0.26064    0.24418
88    8.7000   -0.28489    0.24615
89    8.8000   -0.30839    0.23979
90    8.9000   -0.33276    0.23241
91    9.0000   -0.35555    0.21523
92    9.1000   -0.37493    0.18420
93    9.2000   -0.39199    0.15119
94    9.3000   -0.40575    0.12319
95    9.4000   -0.41639    0.09427
96    9.5000   -0.42455    0.06672
97    9.6000   -0.43014    0.04330
98    9.7000   -0.43309    0.02110
99    9.8000   -0.43393   -0.00561
100    9.9000   -0.43266   -0.03056
101   10.0000   -0.42806   -0.04756
102   10.1000   -0.42233   -0.06194
103   10.2000   -0.41651   -0.07044
104   10.3000   -0.40866   -0.07880
105   10.4000   -0.40005   -0.08729
106   10.5000   -0.39148   -0.08910
107   10.6000   -0.38222   -0.09669
108   10.7000   -0.37212   -0.10993
109   10.8000   -0.36043   -0.11820
110   10.9000   -0.34826   -0.12067
111   11.0000   -0.33649   -0.11941
112   11.1000   -0.32469   -0.11835
113   11.2000   -0.31273   -0.11696
114   11.3000   -0.30081   -0.11881
115   11.4000   -0.28919   -0.12487
116   11.5000   -0.27646   -0.12647
117   11.6000   -0.26345   -0.11954
118   11.7000   -0.25244   -0.10724
119   11.8000   -0.24268   -0.09620
120   11.9000   -0.23295   -0.09296
121   12.0000   -0.22356   -0.09149
122   12.1000   -0.21463   -0.09405
123   12.2000   -0.20546   -0.09291
124   12.3000   -0.19587   -0.08389
125   12.4000   -0.18809   -0.07312
126   12.5000   -0.18222   -0.05984
127   12.6000   -0.17581   -0.05507
128   12.7000   -0.17043   -0.05667
129   12.8000   -0.16529   -0.05263
130   12.9000   -0.15977   -0.04646
131   13.0000   -0.15564   -0.03848
132   13.1000   -0.15235   -0.03009
133   13.2000   -0.14940   -0.03243
134   13.3000   -0.14580   -0.03932
135   13.4000   -0.14165   -0.04169
136   13.5000   -0.13761   -0.03402
137   13.6000   -0.13457   -0.02561
138   13.7000   -0.13266   -0.02347
139   13.8000   -0.13001   -0.02752
140   13.9000   -0.12666   -0.03365
141   14.0000   -0.12332   -0.03576
142   14.1000   -0.11974   -0.03734
143   14.2000   -0.11594   -0.03851
144   14.3000   -0.11183   -0.03843
145   14.4000   -0.10791   -0.04427
146   14.5000   -0.10335   -0.05578
147   14.6000   -0.09716   -0.05982
148   14.7000   -0.09072   -0.05637
149   14.8000   -0.08598   -0.05122
150   14.9000   -0.08138   -0.04864
151   15.0000   -0.07565   -0.05062
152   15.1000   -0.07077   -0.05135
153   15.2000   -0.06620   -0.04632
154   15.3000   -0.06134   -0.04342
155   15.4000   -0.05713   -0.04113
156   15.5000   -0.05337   -0.03848
157   15.6000   -0.04938   -0.04093
158   15.7000   -0.04507   -0.04484
159   15.8000   -0.04072   -0.04152
160   15.9000   -0.03669   -0.03345
161   16.0000   -0.03390   -0.02668
162   16.1000   -0.03167   -0.02156
163   16.2000   -0.02898   -0.02715
